city,state,population_2021,latitude,longitude
All,Alabama,5039877,32.318231,-86.902298
All,Alaska,732673,63.588753,-154.493062
All,Arizona,7276316,34.048928,-111.093731
All,Arkansas,3025891,35.20105,-91.831833
All,California,39237836,36.778261,-119.417932
All,Colorado,5812069,39.550051,-105.782067
All,Connecticut,3605597,41.603221,-73.087749
All,Delaware,1003384,38.910832,-75.52767
All,District of Columbia,670050,38.905985,-77.033418
All,Florida,21781128,27.664827,-81.515754
All,Georgia,10799566,32.157435,-82.907123
All,Hawaii,1441553,19.898682,-155.665857
All,Idaho,1900923,44.068202,-114.742041
All,Illinois,12671469,40.633125,-89.398528
All,Indiana,6805985,40.551217,-85.602364
All,Iowa,3193079,41.878003,-93.097702
All,Kansas,2934582,39.011902,-98.484246
All,Kentucky,4509394,37.839333,-84.270018
All,Louisiana,4624047,31.244823,-92.145024
All,Maine,1372247,45.253783,-69.445469
All,Maryland,6165129,39.045755,-76.641271
All,Massachusetts,6984723,42.407211,-71.382437
All,Michigan,10050811,44.314844,-85.602364
All,Minnesota,5707390,46.729553,-94.6859
All,Mississippi,2949965,32.354668,-89.398528
All,Missouri,6168187,37.964253,-91.831833
All,Montana,1104271,46.879682,-110.362566
All,Nebraska,1963692,41.492537,-99.901813
All,Nevada,3143991,38.80261,-116.419389
All,New Hampshire,1388992,43.193852,-71.572395
All,New Jersey,9267130,40.058324,-74.405661
All,New Mexico,2115877,34.97273,-105.032363
All,New York,19835913,43.299428,-74.217933
All,North Carolina,10551162,35.759573,-79.0193
All,North Dakota,774948,47.551493,-101.002012
All,Ohio,11780017,40.417287,-82.907123
All,Oklahoma,3986639,35.007752,-97.092877
All,Oregon,4246155,43.804133,-120.554201
All,Pennsylvania,12964056,41.203322,-77.194525
All,Rhode Island,1095610,41.580095,-71.477429
All,South Carolina,5190705,33.836081,-81.163725
All,South Dakota,895376,43.969515,-99.901813
All,Tennessee,6975218,35.517491,-86.580447
All,Texas,29527941,31.968599,-99.901813
All,Utah,3337975,39.32098,-111.093731
All,Vermont,645570,44.558803,-72.577841
All,Virginia,8642274,37.431573,-78.656894
All,Washington,7738692,47.751074,-120.740139
All,West Virginia,1782959,38.597626,-80.454903
All,Wisconsin,5895908,43.78444,-88.787868
All,Wyoming,578803,43.075968,-107.290284
