id,title,description
583799614c920337ad6230f152923485,Senior Product Manager,"Company Description As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human. Job Description The Payments team at Etsy is committed to creating and maintaining a resilient, streamlined and scalable payments platform for buyers, sellers and Etsy globally. Available in 45 countries, Etsy Payments enables buyers and sellers to transact in 21 currencies and offers 12 different methods to pay for items on our site. Our API & Data team is responsible for the technical vision, development, and maturation of our API strategy for Payments. We work with internal and external customers to build scalable, well-governed payments interfaces with vocabularies that are easy to understand. We are working in cross-functional product development squads consisting of engineers, product manager, product designer, product marketer, data analyst and user researcher. Besides the immediate development squad, you will collaborate with cross-functional stakeholders in and outside of the payments team. This is a full-time position located in Brooklyn, NY. About the Role Work closely with engineering, analytics, design, product engineering, and payments platform teams to define and prioritize the highest impact projects. Regularly present to company executives on roadmap progress, strategy and prioritization. Own and develop the Payments API product strategy and roadmap. Prioritize work thoughtfully and communicate commitments and updates to partners on an ongoing cadence. Drive the squad's execution by collaborating closely with engineering and analytics partners. Be responsible for the performance (and measurement) of the team’s product experiences, including impact to the business and our customers. Integrate analysis and customer feedback into product requirements to ensure products satisfy customer needs, as well as wants. Accountable for the performance and experience working with key payments API. Qualifications 5+ years of experience leading product initiatives. Experienced leading public-facing API projects and/or API Lifecycle management. You have experience in e-commerce. Working with transactional data, including payments systems, ledger systems, and tax collection, reporting and remittance platforms is a strong plus. Experienced with using qualitative and quantitative data to make product decisions. You also know when and how to balance data with intuition. Passionate about solving real customer problems and advocating for their needs. You’re opinionated about trying to minimize any negative impact on the customer experience. Inspiring, engaging and clear communication style; optimistic and forward-looking! Natural collaborator who knows how to drive decision-making with Engineering, Product Design, and analytics. A passionate member of the Etsy community and someone who believes in Etsy’s vision, mission and values! Strong technical abilities (e.g. programming experience, SQL) a plus. What’s Next Interested in working with us? Send us a cover letter and your CV or resume explaining why you’d be great for the job. We value your unique talents and point of view, so feel free to tell us what you are all about. And if you write, draw, craft, or contribute to something you’re proud of, we’d love to hear about it. At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. Additional Information At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
5d06efdceb5651c35085f7a1d6dca919,Senior Software Engineer,"Do you have a commitment to success, proven interpersonal skills, a positive outlook? Are you a creative thinker and problem solver? Are you looking for a meaningful career? If so, then we would love to speak with you! The Engineering & Technology organization is a highly dynamic and growing organization that plays a vital role in providing mission-critical intelligence solutions by optimizing satellite constellations, processing data through its entire life cycle and developing reliable cutting-edge infrastructure for information dissemination across a global network and to a variety of programs. This opening is for a Software Engineer for the Core Data group in Engineering and Technology Mission Systems and Solutions. Core Data creates Big Data solutions for multiple programs, including Orion, GOES and Special Programs, leveraging Open Source Software including HBase, Hadoop, Kafka and Storm, to ingest, store, and retrieve large volumes of mission and test spacecraft data. We are looking for a developer who will be a member of a small agile group with strong Java skills and a knowledge of modern practices and open source libraries. To promote the sharing of ideas, Lockheed Martin fosters an inclusive work environment that encourages differences and big-picture thinking. Our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. Here are some of the benefits you can enjoy: Medical Dental 401k Paid time off Work/life balance Career development Mentorship opportunities Rewards & recognition Learn more about Lockheed Martin’s competitive and comprehensive benefits package. Basic Qualifications: Proven Java development experience Knowledge and familiarity of open source libraries/technologies. Proven experience with developing data-centric applications and creating effective data models. Ability to leverage NoSQL Databases and distributed message frameworks to implement scalable software solutions. Ability to implement Big Data applications to ingest, process, store, and serve time series data Ability to design and develop software systems to interact with other software/hardware systems. Ability to execute in a fast-paced, team-oriented, and highly dynamic work environment Strong written and verbal communication skills Desired Skills: Extensive development experience with o Linux o RESTful Web Services o Git o Maven Development experience with Big Data processing, storage capabilities & analytics Knowledge of Hadoop Ecosystem APIs and Tools Experience with HBase, Spark, Kafka, Hive & Avro Basic Linux systems administration knowledge Experience with Agile Process BASIC QUALIFICATIONS: job.Qualifications Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about. As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories. EXPERIENCE LEVEL: Experienced Professional"
7cffb170119cd2fb614f7c1f36c9ddf2,Software Engineer,"As a Senior Leader in Software Engineering, you will combine your years of proven expertise with a never-ending quest to create innovative technology through solid engineering practices. You'll lead a highly inspired and inquisitive team of technologists who are already developing and deploying applications to the highest standards. With your deep knowledge of design, analytics, development, coding, testing and application programming, your team will raise their game even more, meeting your standards, as well as satisfying both business and functional requirements. Your passion and experience in one or more technology domains will help solve complex and mission critical problems, internally and externally. As a constant learner and early adopter, you're already embracing leading-edge technologies and methodologies; your example encourages others to follow suit. In addition to creating solutions with your in-house team, you'll also work alongside our team of technologists from around the world who are just as dedicated as you are. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally. Responsibilities The Identity and Access Management (GIAM) Engineering Director will be accountable for leading a team responsible for design, develop, test and implement JPMorgan Chase & Co Authentication and Authorization solutions for our estate. Leads the work of software engineers - systems, infrastructure & software development Directly contributes to the development of the Authorization technology roadmap Serves as the lead engineer in product design, software development, delivery and transition to operations Attends technical engagement with audit, regulators, clients, and third parties when required Provides technical supervision, oversight and problem resolution for engineering activities in the absence of the Head of Identity Authentication and Authorization Technology Provides quality control of engineering deliverables Supports program planning, engineering work breakdown structure, task estimation and scheduling Contribute to the mentoring, training and developing of Jr engineers Requirements BS/BA degree or equivalent experience 10+ years of relevant and progressive software development, systems engineering and/or architecture experience. An engineering background in cybersecurity a plus. Proven ability/experience in the area of people management on globally distributed teams Experience working with enterprise scale network infrastructure with a thorough understanding of protocols including TCP/IP, HTTP, UDP as well as Firewalls, Load Balancers, IDS/IPS and DNS. Experience with database platforms (e.g. Oracle, MySQL, PostgresSQL) Thorough understanding of Unix/Linux and Windows operating systems. Mastery of application, data and infrastructure architecture disciplines Command of architecture, design and business processes Experience in the following as it relates to software engineering in a mission critical environment: o Analyzing complex data systems - failure analysis / root cause analysis o Developing, improving and maintaining technical engineering documentation o Performance management o Roadmap development o Product Management - design, development, testing and integration/transition/transformation o Compliance and governance Solid comprehension of Information Security and it's need in an enterprise environment Proven experience building/designing tools to identify, classify, remediate and mitigate vulnerabilities across infrastructure and applications. Utilization of tools for orchestration, Web application and network scanning. Experienced in modern programming languages such as Recognized expertise in Agile, creating competitive advantage through the application of leading-edge technologies and methodologies Knowledge of industry wide technology trends and best practices Keen understanding of financial control and budget management Expertise in working in in large, collaborative teams to achieve organizational goals, and passionate about building an innovative culture Preferred Experience/Certifications Cloud infrastructure knowledge. AWS, Google and/or Azure experience is a plus Agile/Scrum DevOps methodologies Certifications - CISSP; AWS; CCNA/CCNP/CCNE; GCUX; Linux+; RHCSA/RHCE/RHCA; MCSE/MCSD; QCS CTC (Cybersecurity & Technology Controls) The Cybersecurity & Technology Controls group at JPMorgan Chase aligns the firm's cybersecurity, access management, controls and resiliency teams. The group proactively and strategically partners with all lines of business and functions to enable them to design, adopt and integrate appropriate controls; deliver processes and solutions efficiently and consistently; and drive automation of controls. The group's number one priority is to enable the business by keeping the firm safe, stable and resilient. Tech at JPMC When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 15 technology centers worldwide, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry. JPMC At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans"
f3df4eade661cfe9d815b6dcb66c3642,Marketing Manager,"Marketing Business Data Analyst Job no: 612617 Work type: Permanent Location: Denver, Colorado Categories: Marketing, North America, Individual Contributor Marketing Business Data Analyst Change people’s lives and love what you do! Cochlear develops world-leading medical devices that help people hear. As the top 100 medical device company and market-leader in implantable hearing devices, more people choose a Cochlear-branded cochlear implant system than any other. Our employees tell us that the number one reason they enjoy working for Cochlear is the opportunity to make a difference to people’s lives. About the role In order to help Cochlear improve operational efficiency, we are recruiting for a Marketing Business Data Analyst in our Americas head office in Lone Tree. To be successful in this role you’ll be able to ensure data is validated, flowing between systems correctly and explore opportunities to leverage new data sets to improve and influence a data-driven approach at Cochlear Americas. You’ll work collaboratively with other members of the marketing organization as well as global business partners to assist in driving a stronger return on investment of our marketing spend by overseeing day to day operations of monitoring and reporting on critical business data as well as work closely with our CRM, Marketing Automation and other critical digital teams to drive decisions around data integrity and data quality processes. This hands-on technical analysis role is responsible for leading Cochlear America’s in the journey to lead transformational change in how data is used to drive business decisions. In this role you'll have the opportunity to make a significant contribution to Cochlear's successful history of innovation by applying your knowledge of digital analytics through the use reporting tools, such as Google Analytics, Data Studio, Salesforce.com Tableau and more. Key Responsibilities Data Monitoring, Reporting, Analysis, & insights Responsible for overseeing the day-to-day operations of monitoring and reporting on marketing data. Own the product-specific reporting, data analysis and visualization, and communicate the insights to various stakeholders to aid strategic decisions for improvements in support of overall growth. Assist in lead reporting to measure the impact and efficiency of lead acquisition quality and velocity to surgery. Provide recommendations on expansion opportunities to expand reporting programs and campaigns, collaborate and support their goals through reporting and insights. Build and analyze reporting focused on form fills by campaign. Support ad hoc backend data reporting requests through the Digital Team’s Workfront process. CRM and Automation System Analytics & Data Integrity Work closely with CRM, Marketing Automation, and global teams to provide data insights that drive decisions around data integrity and data processes to be able to drive prioritization around data systems enhancements. Manage day-to-day efforts of JIRAs related to marketing efforts, including entry, tracking, and monitoring of JIRAs related to CRM and Marketing Automation needs. Key Requirements To add value to Cochlear in this role you'll be able to demonstrate the following skills and experience in your application and at interview: Bachelor’s degree in Marketing, Statistics or equivalent experience. 2+ years of experience in digital analytics or marketing analytics or CRM analytics Experience in working with SQL, Google Analytics 360, Data Studio or related reporting tools Strong analytical mind-set and skills, including the ability to break down complex scenarios into constituent components Excellent verbal and written communication skills, ability to synthesize and deliver clear message to facilitate decisions Strong critical thinking, and reasoning skills Ability to translate complex analytics into clear, concise, actionable communications Advanced Excel skills required Knowledge of relational database required Physical & Mental Demands The physical and mental demands described below are representative of those that must be met to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Physical Demands: While performing the duties of this job, the employee is regularly required to be in a stationary (seated/standing) position; utilize business technology for work product delivery, communicate orally and in writing with others internal or external to the organization, utilize problem solving/critical thinking skills to discern and convey information. Mental Demands: While performing the duties of this job, the employee is regularly required to utilize comprehension, critical thinking, communication, problem solving, organization reasoning, relating to others and discernment of items such as product specifications, procedures and processes to customers (whether internal or external). Influence, organization/classification of information and planning are also required. Work Environment The work environment for this role is an office environment. In addition to the opportunity to develop your knowledge and grow professionally, we offer competitive wages and benefits: Target Salary Range is $65,000 - $78,000 annually as well as a bonus of 4% of base salary. Medical, Dental, Vision, Life, AD&D, STD and LTD and Pet Insurance, 401K Matching, PTO (Vacation, Holidays, Floating Holidays, Sick and Volunteer Time Off), Tuition Reimbursement, Onsite Cafeteria and Gym, Transportation Supplementation, Maternity and Paternity Leave, Wellness Programs. More about Cochlear Human needs have always been our inspiration, ever since Professor Graeme Clark set out to create the first multi-channel cochlear implant because he saw his father struggle with hearing loss. We always start with people in mind – thinking about their needs. For this reason, our products, services and support will continue to evolve and improve. We are by our customers’ side through the entire hearing journey, so they can experience a life full of hearing. Our employees tell us that the number one reason they enjoy working for Cochlear is the opportunity to make a difference to people’s lives and working in an organization where they can be part of bringing the mission to life each day. Visit our careers site at www.cochlear.us/careers to learn more about current openings! by completing your application form online. Applicants must meet the job specific application criteria to be considered. Cochlear Americas is an Equal Opportunity, Affirmative Action Employer and provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, marital status, veteran status, or any other characteristic protected by federal, state or local law. In addition, Cochlear will provide reasonable accommodations for qualified individuals with disabilities. If you require accommodation with completing the online application, please contact us via web or phone at 303-264-2549. Advertised: 05 Feb 2021 Mountain Standard Time Anticpated Application Closing:"
30c1711a04fb29adf60faf4cf3ea7e7a,Digital Marketing Specialist,"Duo Security, now a part of Cisco, is the leading provider of Zero Trust security and multi-factor authentication delivered through the cloud. Duo’s mission is to make security simple for everyone. We were born from a hacker ethos and a dream to make the Internet a secure place. We believe in empowering people to follow their passions inside and outside of the office and enable every employee to bring their whole self to work. As a digital marketing strategist, you will be on the Demand Generation team, closely aligned with the marketing operations, field marketing, creative and web teams to help execute organic and paid digital marketing projects. You will be expected to own SEO and PPC marketing initiatives to completion by collaborating across departments and doing technical work Duties and Responsibilities: Plans and implements search engine optimization strategies via the company’s website(s). Collaborates with web development and design teams; provides guidance on marketing-related aspects of the company’s web presence. Take ownership of technical SEO campaigns by collaborating with web development and creative teams. Develops and expands the company's web presence through SEO, digital advertising, and other online sources. Coordinates with other marketing team members to ensure active promotions and campaigns are represented on the website(s). Collaborates with the content team to monitor and improve search engine optimization (SEO) results for the company’s site(s). Maintains current knowledge of trends and developments in online marketing. Assists with budget preparation for the marketing department. Performs other related duties as assigned. Skills you have: Extensive knowledge of SEO, both content and technical. Moderate knowledge of digital advertising, both social and search. Moderate knowledge of HTML/CSS/Javascript Moderate knowledge of website analytics. Experience driving leads and sales opportunities through organic search. Excellent written and verbal communication skills. Proven ability to plan and implement marketing campaigns. Keyword research for organic and paid search marketing Proficient with HTML and web design. Proficient with Microsoft Office Suite or similar software. Background: Five years of technical SEO experience. A portfolio of successfully run SEO campaigns. Two years of digital advertising experience. Four years of web analytics experience. Experience with SaaS-based businesses is a plus. This job may have been created just for you if… You work great independently but can also collaborate efficiently. You are comfortable working with colleagues who are in different cities and timezones (Duo has remote team members and four offices: Ann Arbor, San Mateo, Austin & London). You enjoy putting on your “detective hat” and digging into issues to fix them the right way. You enjoy a mix of being reactive and proactive. You enjoy innovation and testing new strategies to improve best practices."
34ba02b85294da5bbc3fd88f8d406109,Product Manager,"Company Description Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square. Job Description The Square eCommerce team, formed with the acquisition of Weebly in May 2018, is on a mission to make it incredibly easy for anyone to sell online. With more than 40 million users across Weebly, Square Online, Square Online Checkout, and our other eCommerce products, we are passionate about helping restaurants, retailers, and sellers of all kinds reach success - both online and offline. As a Product Manager — eCommerce, you will lead our efforts to make it even easier for Square merchants to get online and grow their business. You will create new omnichannel solutions that work seamlessly online and off, and will guide essential projects to grow and enhance Square’s ecosystem. You are passionate about understanding user needs and pain points, and working with cross-functional partners to simplify complex problems and ship elegant solutions that help sellers be successful online. You will need strategic thinking and methodical execution, with an opportunity to create impact for the millions of small businesses around the world. You will: Define product strategy and improve our customers’ experience using a variety of inputs, and clearly articulate rationale behind product decisions Deeply understand our customers and their needs, and guide our world-class team to ship remarkable solutions In collaboration with design, engineering, marketing, and analytics partners, lead the end-to-end success of projects from discovery to launch Identify new growth opportunities through quantitative research, UX studies, and reviews of industry standard methodologies Be the point person for your product area to leadership and across the organization Influence important partners throughout Square to align intent, resources, and prioritization. Qualifications 3+ years of consumer-facing product management experience Passion for our purpose of economic empowerment and helping sellers succeed Strong customer empathy and experience shaping product direction based on customer needs An eye for long-term strategic vision, and can also operate in the details of short-term projects Created solid relationships that shine when you’re talking with a customer, cross-functional partner, or engaging a diverse audience Natural curiosity and growth mindset, obsession with the details Proven experience delivering results Additional Information At Square, our purpose is to empower – within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workforce as diverse and empowered as our sellers. To this end, we take great care to evaluate all employees and job applicants equally, based on merit, competence, and qualifications. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage candidates from all backgrounds to apply. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible. Perks At Square, we want you to be well and thrive. Our global benefits package includes: Healthcare coverage Retirement Plans Employee Stock Purchase Program Wellness perks Paid parental leave Paid time off Learning and Development resources"
c7944865067193d338c8741a61befa69,Software Engineer,"As an experienced Software Engineer, your mission is to be part team of innovators and technologists toward creating next-level solutions that improve the way our business is run. Your deep knowledge of design, analytics, development, coding, testing and application programming will help team raise their game, meeting standards, as well as satisfying both business and functional requirements. Your expertise in various technology domains will be counted on to set strategic direction and solve complex and mission critical problems, internally and externally. Your quest to embracing leading-edge technologies and methodologies inspires team to follow suit. And best of all, you'll be able to harness massive amounts of brainpower through our global network of technologists from around the world. In this role, you will take part in some of our most innovative engineering work, such as: Modernizing our authentication and authorization platforms across channels and domains Evaluating and prototyping cutting-edge internal and vendor/startup solutions for user authentication Integrating innovative anti-fraud and biometric authentication solutions into our customer-facing applications Using APIs and SDKs for both niche solutions as well as open standards Driving quality and efficiency of the software development lifecycle Setting and modeling high technical standards for team This role requires a wide variety of strengths and capabilities, including: Expertise in application, data and infrastructure architecture disciplines Advanced knowledge of architecture, design and business processes Keen understanding of financial control and budget management Ability to work collaboratively in teams and develop meaningful relationships to achieve common goals Experience with Authentication. Experience with modern authenticators (such as OAuth2/OpenID Connect, SAML, Facebook Login, Google Sign-In) a plus Proficiency in one or more general purpose programming languages; Java strongly preferred. Flexibility to work across disparate technology stacks and applications Hands-on large scale enterprise platform technical integration skills Experience working with teams across time zones Experience in REACT Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world's important corporations, governments and institutions. You'll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world. When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world. At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you. If you're interested in work that makes a difference, then apply today.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans"
b85273648309f5015de0c9097f6677e8,Director Business Analyst,"Develop cohesive marketing plan and content for website, advertising, social media, email marketing Collaborate with leaders from Admissions, Advancement, and program directors across campus to develop cohesive multi-channel marketing campaigns that increase awareness and improve perception Develop strong and innovative digital marketing strategies, using SEO, PPC, and other techniques to drive traffic to Iona’s website and generate interest in Iona. Manage, improve and create engaging written, graphic and video online content, considering SEO and Google Analytics, latest marketing technologies and social media. Manage all digital marketing channels (e.g. website, emails and social media) to ensure brand consistency Measure ROI and KPIs and prepare budget Oversee our social media accounts Motivate digital marketing team to achieve goals Skills Required: Must be collaborative, motivated team player Ability to analyze data and draw insights. Organization and project management skills. Knowledge and understanding of SEO, PPC, Google analytics User experience skills and an understanding of the customer experience. Advanced social media knowledge Effective time management skills and the ability to multitask. Strong copywriting skills. Attention to detail Experience Preferred: Bachelor's degree in business, marketing, communications, or related field. 7 years experience in marketing Experience running a marketing team and/or managing creative agencies Proven marketing campaign experience. About Iona Founded in 1940, Iona College is a master's-granting private, Catholic, coeducational institution of learning in the tradition of the Edmund Rice Christian Brothers. Iona's 45-acre campus is just 20 miles north of Midtown Manhattan. With a total enrollment of nearly 4,000 students and an alumni base of over 50,000 around the world, Iona is a diverse community of learners and scholars dedicated to academic excellence and the values of justice, peace and service. Iona is highly accredited, offering undergraduate degrees in liberal arts, science, and business administration, as well as Master of Arts, Master of Science and Master of Business Administration degrees and numerous advanced certificate programs. Iona’s LaPenta School of Business is accredited by AACSB International, a prestigious recognition awarded to just five percent of business schools worldwide. The Princeton Review recognized Iona’s on-campus MBA program as a “Best Business School for 2020.” Iona College also recently launched a new, fully online MBA program for even greater flexibility. Iona College is committed to attracting and supporting a staff and faculty of women and men that fully represents the racial, ethnic and cultural diversity of the nation and our institution; as a result, we actively seek applications from individuals of all backgrounds and beliefs"
0ffe848614a6e6386593f02e8812895b,Data Analyst,"Visiting Angels is looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight, and insight into business decisions. We Offer: Competitive salary, benefits, and PTO package. A positive and supportive work environment and culture. Opportunities for continuing training and development. Position Summary: Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities, and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Essential Functions: Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities Required Experience: Proven working experience as a Data Analyst or Business Data Analyst Technical expertise regarding data models, database design development, data mining, and segmentation techniques Strong knowledge of and experience with reporting packages Knowledge of statistics and experience using statistical packages for analyzing datasets Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing, and presenting findings BS in Mathematics, Economics, Computer Science, Information Management or Statistics Job Types: Full-time, Part-time Pay: $51,107.00 - $62,464.00 per year Benefits: 401(k) Health insurance Paid time off Schedule: 8 hour shift Monday to Friday Education: Bachelor's (Preferred) Experience: Business Analysis: 1 year (Preferred) Work Location: One location Company's website: www.visitingangels.com/woodbridge Company's Facebook page: https://www.facebook.com/VisitingAngelsWoodbridgeCT Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Personal protective equipment provided or required Social distancing guidelines in place Virtual meetings Sanitizing, disinfecting, or cleaning procedures in place"
8b7268854c256778fc310c99203c3dae,Marketing Manager,"ARCpoint Labs of North San Diego is seeking an experienced Marketing Specialist. The Marketing Specialist will support and build effectiveness in strategic marketing and communication. This role will support all marketing functions through assisting in the strategic development and project execution of marketing initiatives including customer relationship management, promotions, and more. The ideal candidate will be social-media savvy and be able to maintain the company’s presence on social media outlets including, but not limited to, Facebook, Google Plus and LinkedIn. Responsibilities: Develop and manage marketing campaigns through use of digital media platforms (PPC/SEO marketing) and social media platforms (Facebook /LinkedIn) Build email marketing strategy and campaigns to promote products and services, nurture leads and target prospects Schedule and create social media posts on Facebook and LinkedIn pages Manage data and follow-up with leads Track Google analytics and social media accounts and provide recommendations to help increase engagement and performance. Required Experience & Competencies: Minimum 3 years of experience in marketing. Bachelor’s Degree in related field Solid computer skills including MS Office, marketing software, e.g., Keap and applications (Web analytics, Google Adwords etc.) Experience in email marketing platforms, e.g., Mailchimp, Constant Contact. Well-organized and detail oriented Familiarity with social media platforms (LinkedIn, Facebook etc.) Experience in developing and editing blog content is a plus Job Type: Part-time Schedule: Monday to Friday Education: Bachelor's (Preferred) Experience: Digital Marketing: 3 years (Preferred) Marketing: 3 years (Preferred) Work Location: One location Hours per week: 20-29 Company's website: www.arcpointlabs.com/north-San-Diego Work Remotely: No COVID-19 Precaution(s): Personal protective equipment provided or required Social distancing guidelines in place Sanitizing, disinfecting, or cleaning procedures in place"
